fast,slow,portfolio
10,30,142672.3
14,24,142493.06999999998
13,24,142485.58999999997
16,23,142278.96999999997
15,23,142243.69
12,25,142226.33000000002
13,22,142166.77000000002
12,26,142139.94
10,31,142105.36
14,23,141981.75
12,28,141800.38
12,27,141786.75
14,22,141751.33000000002
11,29,141744.02
11,28,141744.02
18,20,141728.83
12,30,141709.22999999998
13,25,141674.0
13,26,141674.0
10,32,141666.5
10,33,141666.5
11,27,141644.72
16,19,141536.61
15,22,141499.99
10,28,141431.55
10,29,141305.07
17,22,141255.37
12,29,141242.31
11,32,141214.01
11,31,141214.01
11,30,141214.01
10,34,141214.01
10,35,141214.01
14,19,141129.44000000003
17,20,141031.91999999998
11,46,141016.05
11,45,140976.31
11,44,140976.31
10,46,140973.32
10,45,140933.58000000002
11,47,140866.91999999998
12,44,140863.56
12,43,140863.56
10,47,140824.19
18,22,140816.76
13,30,140795.52
13,29,140795.52
14,21,140716.85
13,28,140677.07
13,27,140677.07
11,38,140659.94
11,39,140646.08000000002
11,40,140646.08000000002
11,41,140646.08000000002
11,42,140644.89
11,43,140644.89
10,40,140617.21
10,38,140617.21
10,39,140617.21
10,41,140603.35
10,42,140603.35
10,43,140602.16
10,44,140602.16
16,25,140598.33
10,58,140574.39
12,41,140532.14
12,42,140532.14
12,32,140460.45
12,31,140460.45
27,28,140426.03000000003
13,23,140385.76
11,49,140318.90999999997
17,21,140288.13999999998
10,49,140263.47999999998
17,23,140249.31999999998
18,21,140206.43
11,48,140197.03999999998
10,48,140154.31
12,35,140101.83000000002
11,36,140101.83000000002
11,37,140101.83000000002
12,36,140101.83000000002
10,37,140059.1
10,36,140059.1
12,34,140007.96
12,33,140007.96
11,35,140007.96
11,34,140007.96
19,22,139999.15999999997
11,33,139965.22999999998
13,46,139944.41
12,46,139944.41
13,42,139904.66999999998
13,43,139904.66999999998
13,33,139895.21
13,31,139895.21
13,32,139895.21
15,26,139884.16
13,44,139856.77
13,45,139856.77
12,45,139856.77
13,47,139795.28
12,47,139795.28
10,53,139720.45
10,54,139720.45
12,37,139701.05
12,38,139701.05
12,39,139687.19
11,55,139682.77000000002
11,56,139682.77000000002
10,56,139682.77000000002
10,57,139682.77000000002
14,20,139644.89
12,24,139634.49
10,55,139607.7
11,54,139607.7
11,53,139607.7
13,37,139588.3
27,30,139575.11000000002
13,39,139574.44
13,38,139574.44
12,40,139574.44
13,41,139573.25
13,40,139573.25
14,25,139528.18999999997
10,27,139500.69
10,59,139325.61
10,60,139325.61
16,22,139323.09
11,50,139304.59
13,49,139247.27
12,49,139247.27
12,50,139247.27
10,50,139229.02000000002
10,51,139229.02000000002
10,52,139229.02000000002
12,51,139191.84
13,48,139125.4
12,48,139125.4
11,51,139116.27000000002
11,52,139116.27000000002
11,25,139048.2
11,26,139048.2
15,25,139033.94
13,35,139030.19
13,36,139030.19
13,34,138936.32
14,32,138936.32
14,33,138936.32
16,20,138878.52999999994
